,Eggs,Milk,Bread,Bacon,Chicken Breast,Whole Chicken,Bananas,Rice,Coffee,Ground Chuck,Cookies,Oranges,Tomatoes,Cpi Values,PPI Values,Unemployment,year_month
0,3.599,4.162,1.851,7.118,4.204,2.078,0.657,1.068,8.414,6.338,5.264,1.633,1.793,323.048,253.663,4.2,2025-07
1,3.775,4.029,1.864,7.098,4.239,2.086,0.654,1.061,8.132,6.103,5.108,1.564,1.737,322.561,251.918,4.1,2025-06
2,4.548,4.022,1.876,6.985,4.216,2.061,0.655,1.067,7.931,6.018,5.049,1.485,1.705,321.465,251.369,4.2,2025-05
3,5.122,4.074,1.913,7.009,4.18,2.059,0.635,1.031,7.536,5.996,4.956,1.484,1.793,320.795,250.44,4.2,2025-04
4,6.227,4.05,1.88,6.978,4.16,2.064,0.625,1.038,7.385,5.854,4.863,1.536,1.819,319.799,249.728,4.2,2025-03
5,5.897,4.026,1.925,6.798,4.079,2.051,0.619,1.03,7.246,5.744,4.658,1.531,1.848,319.082,250.31,4.1,2025-02
6,4.953,4.025,1.925,7.044,3.969,2.061,0.621,1.008,7.019,5.495,4.895,1.564,2.05,317.671,248.662,4.0,2025-01
7,4.146,4.101,1.912,6.915,4.104,2.061,0.615,1.032,6.776,5.576,4.773,1.729,2.067,315.605,246.083,4.1,2024-12
8,3.649,4.138,1.916,6.843,4.011,2.076,0.622,1.061,6.868,5.605,4.918,1.805,2.03,315.493,246.636,4.2,2024-11
9,3.37,4.041,1.937,6.869,4.037,1.987,0.619,1.056,6.644,5.586,4.852,1.733,1.98,315.664,247.216,4.1,2024-10
10,3.821,4.021,1.976,6.955,3.974,1.979,0.617,1.078,6.47,5.576,5.173,1.728,1.936,315.301,246.339,4.1,2024-09
11,3.204,4.044,1.951,6.785,3.952,1.988,0.612,1.085,6.311,5.638,5.046,1.627,1.996,314.796,249.168,4.2,2024-08
12,3.08,3.983,1.975,6.883,3.946,1.988,0.613,1.039,6.307,5.47,5.102,1.582,1.945,314.54,249.847,4.2,2024-07
13,2.715,3.956,1.973,6.827,4.046,2.007,0.625,1.018,6.253,5.364,5.017,1.545,1.843,314.175,247.72,4.1,2024-06
14,2.699,3.864,1.971,6.818,4.118,2.013,0.622,1.002,5.991,5.331,5.124,1.475,1.859,314.069,248.763,4.0,2024-05
15,2.864,3.868,1.998,6.637,4.061,1.953,0.626,1.025,6.063,5.277,5.121,1.516,1.962,313.548,251.376,3.9,2024-04
16,2.992,3.893,1.997,6.609,4.106,1.991,0.629,1.014,5.964,5.421,5.145,1.532,2.044,312.332,249.516,3.9,2024-03
17,2.996,3.94,2.006,6.56,4.105,1.951,0.625,1.001,6.094,5.213,5.248,1.55,2.132,310.326,248.295,3.9,2024-02
18,2.522,3.958,2.033,6.614,4.086,1.987,0.617,1.0,6.124,5.093,5.019,1.601,2.146,308.417,244.056,3.7,2024-01
19,2.507,4.008,2.024,6.774,4.082,1.955,0.625,0.99,6.092,5.118,5.117,1.664,1.995,306.746,243.266,3.8,2023-12
20,2.138,3.997,1.976,6.899,4.06,1.976,0.627,0.992,6.169,5.201,5.044,1.693,1.942,307.051,246.497,3.7,2023-11
21,2.072,3.927,2.002,7.223,4.222,1.926,0.626,0.96,6.178,5.349,5.129,1.637,1.865,307.671,249.119,3.9,2023-10
22,2.065,3.965,1.972,7.083,4.229,1.901,0.625,0.981,6.085,5.185,5.113,1.623,1.844,307.789,252.368,3.8,2023-09
23,2.043,3.927,1.97,6.502,4.179,1.958,0.631,0.997,6.091,5.259,5.056,1.591,1.877,307.026,251.093,3.7,2023-08
24,2.094,3.971,1.98,6.236,4.141,1.891,0.631,1.006,6.141,5.253,5.091,1.535,1.896,305.691,245.434,3.5,2023-07
25,2.219,3.985,1.937,6.224,4.193,1.953,0.625,1.003,6.091,5.106,5.111,1.512,1.911,305.109,245.784,3.6,2023-06
26,2.666,4.042,1.951,6.339,4.236,1.92,0.628,0.997,6.094,4.953,5.153,1.53,1.798,304.127,246.206,3.6,2023-05
27,3.27,4.042,1.989,6.549,4.405,1.873,0.635,0.98,6.04,4.747,5.193,1.509,1.874,303.363,248.583,3.4,2023-04
28,3.446,4.098,1.936,6.613,4.324,1.868,0.632,0.982,6.184,4.753,5.234,1.549,1.932,301.836,248.98,3.5,2023-03
29,4.211,4.163,1.896,6.595,4.365,1.894,0.641,0.959,6.351,4.777,5.177,1.514,1.99,300.84,249.308,3.6,2023-02
30,4.823,4.204,1.888,6.808,4.315,1.855,0.639,0.97,6.358,4.644,5.058,1.485,2.11,299.17,249.178,3.5,2023-01
31,4.25,4.211,1.873,6.956,4.348,1.83,0.628,0.971,6.465,4.758,4.974,1.641,2.228,296.797,245.115,3.5,2022-12
32,3.589,4.218,1.847,7.243,4.42,1.843,0.631,0.963,6.356,4.728,4.942,1.73,2.107,297.711,252.905,3.6,2022-11
33,3.419,4.184,1.814,7.608,4.67,1.863,0.634,0.963,6.408,4.789,4.869,1.73,1.974,298.012,254.03,3.6,2022-10
34,2.902,4.181,1.749,7.383,4.746,1.891,0.643,0.939,6.17,4.89,4.796,1.703,1.901,296.808,251.891,3.5,2022-09
35,3.116,4.194,1.756,7.372,4.706,1.879,0.643,0.925,6.235,5.12,4.676,1.6,1.89,296.171,251.494,3.6,2022-08
36,2.936,4.156,1.715,7.415,4.608,1.88,0.64,0.929,6.112,5.075,4.654,1.546,1.842,296.276,256.526,3.5,2022-07
37,2.707,4.153,1.691,7.403,4.568,1.826,0.64,0.924,5.793,4.997,4.567,1.505,1.842,296.311,262.418,3.6,2022-06
38,2.863,4.204,1.606,7.364,4.31,1.824,0.642,0.909,5.835,4.894,4.505,1.48,1.819,292.296,256.396,3.6,2022-05
39,2.52,4.012,1.612,7.422,4.096,1.794,0.637,0.9,5.529,4.945,4.174,1.445,1.794,289.109,249.56,3.7,2022-04
40,2.046,3.917,1.607,7.203,3.87,1.724,0.642,0.871,5.41,4.87,4.147,1.427,1.827,287.504,245.404,3.7,2022-03
41,2.005,3.875,1.578,7.097,3.815,1.632,0.628,0.83,5.247,4.627,4.15,1.448,1.826,283.716,237.245,3.8,2022-02
42,1.929,3.787,1.555,7.222,3.726,1.622,0.63,0.832,5.135,4.765,4.223,1.44,1.892,281.148,231.495,4.0,2022-01
43,1.788,3.743,1.532,7.211,3.725,1.606,0.622,0.82,4.965,4.792,4.089,1.49,1.906,278.802,226.47,3.9,2021-12
44,1.718,3.671,1.547,7.265,3.618,1.583,0.619,0.844,4.816,4.81,3.999,1.354,1.924,277.948,227.109,4.2,2021-11
45,1.821,3.663,1.526,7.317,3.589,1.523,0.6,0.788,4.8,4.869,3.815,1.317,1.892,276.589,225.478,4.5,2021-10
46,1.835,3.585,1.58,7.22,3.517,1.504,0.597,0.798,4.733,4.786,3.981,1.32,1.828,274.31,221.869,4.7,2021-09
47,1.709,3.56,1.467,7.096,3.536,1.472,0.589,0.784,4.726,4.636,4.065,1.266,1.858,273.567,220.114,5.1,2021-08
48,1.642,3.627,1.491,6.857,3.5,1.435,0.594,0.782,4.562,4.521,4.065,1.321,1.827,273.003,219.492,5.4,2021-07
49,1.642,3.557,1.51,6.67,3.353,1.474,0.595,0.778,4.605,4.565,4.068,1.303,1.83,271.696,217.9,5.9,2021-06
50,1.625,3.497,1.511,6.346,3.371,1.486,0.6,0.801,4.566,4.495,4.019,1.329,1.804,269.195,215.1,5.8,2021-05
51,1.62,3.447,1.51,6.215,3.406,1.515,0.604,0.785,4.752,4.29,3.939,1.296,1.786,267.054,210.1,6.1,2021-04
52,1.625,3.348,1.526,5.852,3.291,1.543,0.594,0.772,4.671,4.377,3.964,1.209,1.768,264.877,207.9,6.1,2021-03
53,1.597,3.368,1.537,5.778,3.239,1.583,0.59,0.779,4.673,4.252,3.8,1.174,1.838,263.014,203.1,6.2,2021-02
54,1.466,3.468,1.546,5.831,3.26,1.595,0.597,0.794,4.591,4.31,3.669,1.218,1.928,261.582,199.6,6.4,2021-01
55,1.481,3.535,1.538,5.831,3.293,1.621,0.572,0.789,4.52,4.202,3.793,1.244,1.893,260.474,196.7,6.7,2020-12
56,1.45,3.425,1.515,5.754,3.412,1.639,0.578,0.791,4.485,4.33,3.767,1.327,1.935,260.229,194.5,6.7,2020-11
57,1.408,3.38,1.503,5.722,3.29,1.58,0.577,0.766,4.522,4.212,3.848,1.429,1.911,260.388,193.7,6.9,2020-10
58,1.353,3.448,1.492,5.619,3.302,1.542,0.574,0.777,4.487,4.165,3.659,1.47,1.847,260.28,192.9,7.8,2020-09
59,1.328,3.406,1.495,5.559,3.276,1.609,0.576,0.769,4.504,4.307,3.769,1.426,1.874,259.918,193.0,8.4,2020-08
60,1.401,3.255,1.485,5.776,3.221,1.712,0.58,0.772,4.536,4.732,3.696,1.442,1.977,259.101,192.3,10.2,2020-07
61,1.554,3.198,1.474,5.772,3.349,1.747,0.588,0.749,4.517,5.33,3.717,1.411,1.922,257.797,190.2,11.0,2020-06
62,1.64,3.21,1.412,5.348,3.348,1.571,0.589,0.748,4.466,4.789,3.617,1.296,1.851,256.394,188.9,13.2,2020-05
63,2.019,3.267,1.406,5.346,3.158,1.4,0.581,0.733,4.396,4.343,3.826,1.331,2.197,256.389,186.1,14.8,2020-04
64,1.525,3.248,1.374,5.257,2.956,1.362,0.576,0.734,4.334,4.108,3.633,1.28,2.221,258.115,192.3,4.4,2020-03
65,1.449,3.196,1.375,5.497,3.013,1.409,0.574,0.716,4.25,4.033,3.551,1.346,1.954,258.678,195.1,3.5,2020-02
66,1.461,3.253,1.351,5.505,3.059,1.45,0.57,0.714,4.174,4.1,3.525,1.298,1.903,257.971,196.6,3.6,2020-01
67,1.535,3.188,1.363,5.474,3.113,1.43,0.573,0.721,4.053,4.066,3.584,1.344,1.779,256.974,196.4,3.6,2019-12
68,1.405,3.189,1.361,5.505,2.94,1.538,0.573,0.773,4.197,3.993,3.603,1.389,1.911,257.208,196.5,3.6,2019-11
69,1.282,3.119,1.325,5.653,2.948,1.487,0.573,0.797,4.174,4.027,3.602,1.437,1.864,257.346,196.6,3.6,2019-10
70,1.383,3.102,1.296,5.571,2.93,1.514,0.569,0.793,4.306,3.885,3.587,1.502,1.799,256.759,195.9,3.5,2019-09
71,1.219,3.045,1.275,5.576,2.96,1.562,0.578,0.798,4.294,4.019,3.496,1.511,1.812,256.558,196.4,3.6,2019-08
72,1.243,3.031,1.281,5.701,2.975,1.59,0.569,0.801,4.313,4.001,3.468,1.559,1.823,256.571,197.5,3.7,2019-07
73,1.203,3.054,1.28,5.878,3.051,1.479,0.574,0.761,4.343,3.951,3.504,1.538,1.947,256.143,197.0,3.6,2019-06
74,1.362,2.963,1.289,5.812,3.092,1.463,0.579,0.767,4.267,4.023,3.352,1.409,2.079,256.092,199.1,3.6,2019-05
75,1.463,2.98,1.285,5.552,3.014,1.468,0.567,0.757,4.291,3.907,3.426,1.348,2.068,255.548,199.2,3.7,2019-04
76,1.544,2.944,1.261,5.608,3.048,1.486,0.581,0.762,4.285,3.831,3.311,1.291,2.227,254.202,197.4,3.8,2019-03
77,1.557,2.9,1.282,5.502,3.062,1.473,0.571,0.73,4.324,3.847,3.516,1.305,2.175,252.776,195.4,3.8,2019-02
78,1.554,2.913,1.274,5.518,3.063,1.466,0.576,0.712,4.327,3.727,3.466,1.339,2.057,251.712,194.3,4.0,2019-01
79,1.595,2.853,1.29,5.502,3.112,1.501,0.577,0.711,4.323,3.709,3.527,1.326,1.901,251.233,195.2,3.9,2018-12
80,1.596,2.877,1.274,5.392,3.052,1.444,0.566,0.685,4.373,3.745,3.527,1.315,1.826,252.038,198.4,3.8,2018-11
81,1.66,2.913,1.277,5.37,3.047,1.487,0.574,0.693,4.335,3.692,3.456,1.486,1.737,252.885,200.4,3.8,2018-10
82,1.651,2.89,1.288,5.501,2.896,1.511,0.573,0.705,4.545,3.701,3.451,1.59,1.887,252.439,198.9,3.7,2018-09
83,1.622,2.871,1.302,5.577,2.939,1.519,0.569,0.69,4.597,3.738,3.351,1.48,1.706,252.146,198.6,3.8,2018-08
84,1.725,2.839,1.293,5.418,3.116,1.514,0.575,0.689,4.622,3.786,3.481,1.453,1.675,252.006,198.5,3.8,2018-07
85,1.628,2.877,1.279,5.247,3.094,1.523,0.575,0.698,4.65,3.824,3.49,1.462,1.802,251.989,198.4,4.0,2018-06
86,1.987,2.919,1.293,5.452,3.076,1.511,0.575,0.685,4.583,3.688,3.4,1.346,1.868,251.588,197.7,3.8,2018-05
87,2.081,2.924,1.281,5.421,3.238,1.502,0.578,0.682,4.468,3.775,3.328,1.226,2.026,250.546,195.3,4.0,2018-04
88,1.831,2.903,1.309,5.527,3.142,1.478,0.582,0.691,4.281,3.728,3.579,1.174,2.336,249.554,194.0,4.0,2018-03
89,1.755,2.923,1.265,5.533,3.119,1.509,0.574,0.682,4.306,3.659,3.725,1.18,2.237,248.991,193.5,4.1,2018-02
90,1.769,2.961,1.281,5.654,3.073,1.47,0.568,0.711,4.309,3.668,3.681,1.191,1.933,247.867,192.6,4.0,2018-01
91,1.815,3.155,1.316,5.629,3.192,1.451,0.558,0.712,4.372,3.729,3.601,1.186,1.813,246.524,191.3,4.1,2017-12
92,1.506,3.15,1.295,5.708,3.13,1.484,0.551,0.723,4.316,3.775,3.639,1.169,1.828,246.669,191.2,4.2,2017-11
93,1.54,3.158,1.328,6.066,3.141,1.48,0.548,0.741,4.428,3.703,3.511,1.239,1.846,246.663,190.2,4.2,2017-10
94,1.422,3.209,1.349,6.366,3.185,1.489,0.544,0.753,4.481,3.801,3.494,1.412,1.952,246.819,189.6,4.3,2017-09
95,1.367,3.168,1.348,6.241,3.194,1.496,0.561,0.764,4.443,3.785,3.568,1.41,1.873,245.519,188.4,4.4,2017-08
96,1.333,3.219,1.327,5.819,3.189,1.497,0.565,0.752,4.428,3.866,3.467,1.365,1.867,244.786,187.3,4.3,2017-07
97,1.332,3.213,1.335,5.665,3.215,1.499,0.572,0.726,4.405,3.768,3.575,1.268,1.902,244.955,187.6,4.3,2017-06
98,1.414,3.242,1.327,5.699,3.208,1.444,0.564,0.686,4.447,3.645,3.506,1.186,1.943,244.733,187.3,4.4,2017-05
99,1.409,3.259,1.328,5.775,3.289,1.462,0.571,0.692,4.498,3.675,3.404,1.148,1.93,244.524,187.6,4.4,2017-04
100,1.404,3.315,1.329,5.745,3.291,1.473,0.571,0.695,4.486,3.59,3.346,1.176,2.048,243.801,186.7,4.4,2017-03
101,1.464,3.3,1.358,5.334,3.195,1.418,0.573,0.7,4.412,3.549,3.39,1.188,1.972,243.603,186.2,4.6,2017-02
102,1.599,3.318,1.351,5.18,3.218,1.463,0.573,0.693,4.609,3.621,3.397,1.194,1.984,242.839,185.6,4.7,2017-01
103,1.383,3.29,1.362,5.102,3.2,1.478,0.576,0.703,4.669,3.619,3.409,1.196,1.994,241.432,183.9,4.7,2016-12
104,1.321,3.28,1.362,5.106,3.263,1.502,0.573,0.697,4.808,3.703,3.366,1.229,1.786,241.353,183.2,4.7,2016-11
105,1.39,3.292,1.343,5.375,3.305,1.487,0.57,0.721,4.79,3.742,3.47,1.329,1.685,241.729,183.7,4.9,2016-10
106,1.471,3.229,1.329,5.481,3.244,1.426,0.575,0.729,4.686,3.791,3.3,1.514,1.635,241.428,183.0,5.0,2016-09
107,1.455,3.141,1.341,5.448,3.218,1.445,0.562,0.74,4.715,3.912,3.219,1.48,1.709,240.849,182.5,4.9,2016-08
108,1.546,3.062,1.349,5.454,3.21,1.408,0.567,0.734,4.99,3.807,3.217,1.493,1.695,240.628,183.4,4.8,2016-07
109,1.491,3.115,1.333,5.374,3.228,1.489,0.569,0.747,4.827,3.84,3.32,1.38,1.862,241.018,183.6,4.9,2016-06
110,1.684,3.157,1.382,5.552,3.25,1.496,0.57,0.703,4.91,3.902,3.423,1.274,1.941,240.229,181.9,4.8,2016-05
111,1.793,3.155,1.406,5.613,3.251,1.463,0.574,0.711,4.738,3.933,3.42,1.208,2.316,239.261,180.5,5.1,2016-04
112,2.081,3.187,1.416,5.494,3.271,1.478,0.586,0.707,4.59,3.929,3.4,1.165,2.528,238.132,179.3,5.0,2016-03
113,2.267,3.23,1.407,5.394,3.302,1.429,0.573,0.709,4.713,3.945,3.289,1.201,1.932,237.111,178.7,4.9,2016-02
114,2.328,3.313,1.425,5.656,3.251,1.437,0.581,0.711,5.032,4.019,3.33,1.185,1.977,236.916,179.7,4.8,2016-01
115,2.751,3.31,1.428,5.734,3.282,1.484,0.58,0.732,5.215,4.025,3.316,1.195,1.844,236.525,180.8,5.0,2015-12
116,2.664,3.299,1.409,5.847,3.35,1.43,0.575,0.69,5.167,4.082,3.413,1.246,1.775,237.336,182.9,5.1,2015-11
117,2.808,3.338,1.418,5.899,3.356,1.415,0.577,0.662,5.099,4.119,3.391,1.352,1.737,237.838,183.7,5.0,2015-10
118,2.966,3.392,1.432,5.734,3.377,1.428,0.58,0.669,4.67,4.195,3.366,1.508,1.777,237.945,184.3,5.0,2015-09
119,2.943,3.389,1.42,5.41,3.406,1.487,0.58,0.673,5.153,4.222,3.233,1.486,1.708,238.316,187.0,5.1,2015-08
